"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Lisa Cameron","@DrLisaCameronMP","Scottish National Party","East Kilbride, Strathaven and Lesmahagow",14498,1
"Lindsay Hoyle","@LindsayHoyle_MP","Speaker","Chorley",41470,6
"Lilian Greenwood ","@LilianGreenwood","Labour","Nottingham South",30303,0
"Liam Byrne ","@liambyrnemp","Labour","Birmingham, Hodge Hill",38506,3
"Lia Nici","@lia_nici","Conservative","Great Grimsby",4272,-1
"Leo Docherty","@LeoDochertyUK","Conservative","Aldershot",8124,-1
"Lee Benjamin Rowley","@Lee4NED","Conservative","North East Derbyshire",10462,-1
"Layla Moran","@LaylaMoran","Liberal Democrat","Oxford West and Abingdon",76943,21
"Laurence Robertson ","@lrobertsonTewks","Conservative","Tewkesbury",4796,3
"Laura Farris","@Laura__Farris","Conservative","Newbury",7775,-15
"Kwasi Kwarteng ","@KwasiKwarteng","Conservative","Spelthorne",33726,25
"Kit Malthouse ","@kitmalthouse","Conservative","North West Hampshire",18324,6
"Kirsty Blackman ","@KirstySNP","Scottish National Party","Aberdeen North",27240,3
"Kirsten Oswald ","@kirstenoswald","Scottish National Party","East Renfrewshire",16331,3
"Kim Johnson","@KimJohnsonMP","Labour","Liverpool, Riverside",17172,-1
"Kieran John Mullan","@KieranMullanUK","Conservative","Crewe and Nantwich",4688,-3
"Khalid Mahmood","@khalid4PB","Labour","Birmingham, Perry Barr",7108,3
"Kevin Hollinrake ","@kevinhollinrake","Conservative","Thirsk and Malton",12412,1
"Kevin Foster ","@kevin_j_foster","Conservative","Torbay",8619,0
"Kevin Brennan ","@KevinBrennanMP","Labour","Cardiff West",26455,2
"Kevan Jones ","@KevanJonesMP","Labour","North Durham",23485,2
"Kerry McCarthy ","@KerryMP","Labour","Bristol East",32868,-2
"Kenny MacAskill","@KennyMacAskill","Scottish National Party","East Lothian",19940,-2
"Kemi Badenoch","@KemiBadenoch","Conservative","Saffron Walden",48759,-11
"Kelly Tolhurst ","@KellyTolhurst","Conservative","Rochester and Strood",15487,-1
"Keir Starmer ","@Keir_Starmer","Labour","Holborn and St Pancras",1211442,214
"Katherine Fletcher","@K_Fletcher_MP","Conservative","South Ribble",4708,2
"Kate Osborne","@KateOsborneMP","Labour","Jarrow",15491,0
"Kate Osamor ","@KateOsamor","Labour","Edmonton",35782,4
"Kate Hollern ","@Kate_HollernMP","Labour","Blackburn",10167,1
"Kate Green ","@KateGreenSU","Labour","Stretford and Urmston",50990,-3
"Karl Turner ","@KarlTurnerMP","Labour","Kingston upon Hull East",41722,55
"Karl McCartney ","@karlmccartney","Conservative","Lincoln",11555,6
"Karin Smyth ","@karinsmyth","Labour","Bristol South",13897,2
"Karen Buck ","@KarenPBuckMP","Labour","Westminster North",18586,2
"Justin Tomlinson ","@JustinTomlinson","Conservative","North Swindon",21182,-2
"Justin Madders ","@justinmadders","Labour","Ellesmere Port and Neston",30187,3
"Julie Marson","@JulieMarsonMP","Conservative","Hertford and Stortford",4792,-3
"Julie Elliott ","@JulieElliottMP","Labour","Sunderland Central",22101,0
"Julian Sturdy","@JulianSturdy","Conservative","York Outer",2436,1
"Julian Smith ","@JulianSmithUK","Conservative","Skipton and Ripon",37589,5
"Julian Knight ","@julianknight15","Conservative","Solihull",13312,4
"Julia Lopez","@JuliaLopezMP","Conservative","Hornchurch and Upminster",7987,5
"Judith Cummins ","@JudithCummins","Labour","Bradford South",15404,5
"Joy Morrissey","@joymorrissey","Conservative","Beaconsfield",18721,-2
"Jonathan Reynolds ","@jreynoldsMP","Labour","Stalybridge and Hyde",53458,12
"Jonathan Lord","@JonathanLord","Conservative","Woking",3088,-2
"Jonathan Djanogly ","@JDjanogly","Conservative","Huntingdon",19585,-1
"Jonathan Ashworth ","@JonAshworth","Labour","Leicester South",114405,20
"Jon Trickett ","@jon_trickett","Labour","Hemsworth",91575,20
"Jon Cruddas ","@JonCruddas_1","Labour","Dagenham and Rainham",21740,-2
"Johnny Mercer ","@JohnnyMercerUK","Conservative","Plymouth, Moor View",116259,61
"Johnny McNally","@JohnMcNallySNP","Scottish National Party","Falkirk",9490,2
"John Whittingdale ","@JWhittingdale","Conservative","Maldon",9085,0
"John Stevenson ","@John4Carlisle","Conservative","Carlisle",14162,-1
"John Spellar ","@spellar","Labour","Warley",11958,4
"John Redwood ","@johnredwood","Conservative","Wokingham",131121,54
"John Penrose ","@JohnPenroseNews","Conservative","Weston-super-Mare",37437,-6
"John Nicolson ","@MrJohnNicolson","Scottish National Party","Ochil and South Perthshire",41911,2
"John McDonnell ","@johnmcdonnellMP","Labour","Hayes and Harlington",308629,0
"John Lamont","@John2Win","Conservative","Berwickshire, Roxburgh and Selkirk",12105,-4
"John Howell ","@JHowellUK","Conservative","Henley",8351,-2
"John Healey ","@JohnHealey_MP","Labour","Wentworth and Dearne",32255,4
"John Glen ","@JohnGlenUK","Conservative","Salisbury",24281,-2
"John Finucane","@johnfinucane","Sinn Féin","Belfast North",34484,28
"John Cryer","@JohnCryerMP","Labour","Leyton and Wanstead",6702,2
"Joanna Cherry QC ","@joannaccherry","Scottish National Party","Edinburgh South West",119287,-3
"Jo Stevens ","@JoStevensLabour","Labour","Cardiff Central",34560,2
"Jo Gideon","@jogideon","Conservative","Stoke-on-Trent Central",5261,1
"Jo Churchill ","@Jochurchill_MP","Conservative","Bury St Edmunds",13951,1
"Jim Shannon ","@JimShannonMP","Democratic Unionist Party","Strangford",4350,2
"Jim McMahon ","@JimfromOldham","Labour","Oldham West and Royton",28892,5
"Jessica Morden ","@jessicamordenmp","Labour","Newport East",14918,7
"Jesse Norman ","@Jesse_Norman","Conservative","Hereford and South Herefordshire",26589,1
"Jess Phillips ","@jessphillips","Labour","Birmingham, Yardley",523279,183
"Jerome Mayhew","@JeromeMayhew","Conservative","Broadland",3144,1
"Jeremy Hunt ","@Jeremy_Hunt","Conservative","South West Surrey",227106,5
"Jeremy Corbyn ","@jeremycorbyn","Independent","Islington North",2463194,-11
"Jeffrey M. Donaldson ","@J_Donaldson_MP","Democratic Unionist Party","Lagan Valley",28670,9
"Jeff Smith ","@JeffSmithetc","Labour","Manchester, Withington",11512,3
"Jason McCartney ","@JasonMcCartney","Conservative","Colne Valley",18036,-1
"Janet Daby","@JanetDaby","Labour","Lewisham East",12485,3
"Jane Stevenson","@Jane_Stevenson_","Conservative","Wolverhampton North East",5666,4
"Jane Hunt","@JaneMHunt","Conservative","Loughborough",3520,3
"Jamie Stone","@Jamie4North","Liberal Democrat","Caithness, Sutherland and Easter Ross",13899,5
"Jamie Hamilton Wallis","@JamieWallisMP","Conservative","Bridgend",7901,4
"James Wild","@jamesowild","Conservative","North West Norfolk",3079,4
"James Sunderland","@JamesSunderl","Conservative","Bracknell",3941,1
"James Murray","@jamesmurray_ldn","Labour","Ealing North",9313,3
"James Morris","@JamesMorris","Conservative","Halesowen and Rowley Regis",9547,2
"James Heappey ","@JSHeappey","Conservative","Wells",19548,1
"James Gray ","@JGray","Conservative","North Wiltshire",19018,-3
"James Duddridge ","@JamesDuddridge","Conservative","Rochford and Southend East",32202,2
"James Davies","@JamesDavies","Conservative","Vale of Clwyd",6195,4
"James Daly","@JamesDalyMP","Conservative","Bury North",5940,2
"James Cleverly ","@JamesCleverly","Conservative","Braintree",113771,80
"James Cartlidge ","@jcartlidgemp","Conservative","South Suffolk",10469,-2
"James Brokenshire ","@JBrokenshire","Conservative","Old Bexley and Sidcup",30989,-3
"Jake Berry ","@JakeBerry","Conservative","Rossendale and Darwen",20509,-1
"Jacob Young","@JacobYoungMP","Conservative","Redcar",11445,4
"Jacob Rees-Mogg ","@Jacob_Rees_Mogg","Conservative","North East Somerset",449444,111
"Jackie Doyle-Price ","@JackieDP","Conservative","Thurrock",14187,4
"Jack Lopresti ","@JackLopresti","Conservative","Filton and Bradley Stoke",9343,1
"Jack Dromey ","@JackDromeyMP","Labour","Birmingham, Erdington",25146,-1
"Imran Nasir Ahmad Khan","@imranahmadkhan","Conservative","Wakefield",6037,-2
"Imran Hussain ","@Imran_HussainMP","Labour","Bradford East",21779,5
"Ian Murray ","@IanMurrayMP","Labour","Edinburgh South",33888,-7
"Ian Mearns ","@IanMearnsMP","Labour","Gateshead",28496,0
"Ian Lavery ","@IanLaveryMP","Labour","Wansbeck",92642,26
"Ian Byrne","@IanByrneMP","Labour","Liverpool, West Derby",36171,4
"Ian Blackford ","@Ianblackford_MP","Scottish National Party","Ross, Skye and Lochaber",167378,49
"Iain Stewart ","@iainastewart","Conservative","Milton Keynes South",19154,-3
"Iain Duncan Smith","@MPIainDS","Conservative","Chingford and Woodford Green",61237,10
"Hywel Williams ","@HywelPlaidCymru","Plaid Cymru","Arfon",10576,4
"Huw Merriman ","@HuwMerriman","Conservative","Bexhill and Battle",20740,2
"Holly Lynch ","@HollyLynch5","Labour","Halifax",25414,11
"Hilary Benn ","@hilarybennmp","Labour","Leeds Central",169167,-3
"Henry Smith ","@HenrySmithUK","Conservative","Crawley",17568,-6
"Helen Whately ","@Helen_Whately","Conservative","Faversham and Mid Kent",24801,1
"Helen Morgan","@helenhalcrow","Liberal Democrat","North Shropshire",13402,20
"Helen Hayes ","@helenhayes_","Labour","Dulwich and West Norwood",26035,1
"Helen Grant ","@HelenGrantMP","Conservative","Maidstone and The Weald",22470,-5
"Heather Wheeler ","@HeatherWheeler","Conservative","South Derbyshire",20874,-1
"Harriett Baldwin ","@hbaldwin","Conservative","West Worcestershire",28334,1
"Harriet Harman QC ","@HarrietHarman","Labour","Camberwell and Peckham",188704,-3
"Hannah Bardell ","@HannahB4LiviMP","Scottish National Party","Livingston",25872,-3
"Guy Opperman ","@GuyOpperman","Conservative","Hexham",22646,-1
"Greg Smith","@gregsmith_uk","Conservative","Buckingham",8163,3
"Greg Knight ","@GregKnight","Conservative","East Yorkshire",11737,-2
"Greg Hands ","@GregHands","Conservative","Chelsea and Fulham",45023,62
"Greg Clark","@GregClarkMP","Conservative","Tunbridge Wells",32608,8
"Grant Shapps ","@grantshapps","Conservative","Welwyn Hatfield",172982,53
"Grahame Morris ","@grahamemorris","Labour","Easington",32892,-6
"Graham Stuart ","@grahamstuart","Conservative","Beverley and Holderness",17730,-5
"Graham Brady","@SirGrahamBrady","Conservative","Altrincham and Sale West",22963,4
"Gillian Keegan","@GillianKeegan","Conservative","Chichester",16055,-3
"Gill Furniss ","@GillFurnissMP","Labour","Sheffield, Brightside and Hillsborough",7439,6
"Giles Watling","@GilesWatling","Conservative","Clacton",4624,0
"Gerald Jones ","@GeraldJonesLAB","Labour","Merthyr Tydfil and Rhymney",7781,4
"Geraint Davies ","@GeraintDaviesMP","Labour","Swansea West",16264,1
"George Freeman ","@GeorgeFreemanMP","Conservative","Mid Norfolk",31227,3
"Geoffrey Cox QC ","@Geoffrey_Cox","Conservative","Torridge and West Devon",40355,-2
"Gavin Williamson ","@GavinWilliamson","Conservative","South Staffordshire",105050,21
"Gavin Robinson ","@GRobinsonDUP","Democratic Unionist Party","Belfast East",14895,0
"Gavin Newlands ","@GavNewlandsSNP","Scottish National Party","Paisley and Renfrewshire North",14650,3
"Gary Streeter ","@garystreeterSWD","Conservative","South West Devon",5601,3
"Gary Sambrook","@GarySambrook89","Conservative","Birmingham, Northfield",5525,0
"Gareth Thomas ","@GarethThomasMP","Labour","Harrow West",17699,2
"Gareth Davies","@GarethDavies_MP","Conservative","Grantham and Stamford",7204,2
"Gareth Bacon","@GarethBaconMP","Conservative","Orpington",6092,-2
"Gagan Mohindra","@gaganmohindra","Conservative","South West Hertfordshire",4512,-2
"Francie Molloy ","@FrancieMolloy","Sinn Féin","Mid Ulster",8114,3
"Florence Eshalomi","@FloEshalomi","Labour","Vauxhall",27754,3
"Fleur Anderson","@PutneyFleur","Labour","Putney",16293,1
"Fiona Bruce","@UK_FoRBEnvoy","Conservative","Congleton",2267,0
"Feryal Clark","@FeryalClark","Labour","Enfield North",11969,-2
"Felicity Buchan","@FelicityBuchan","Conservative","Kensington",6964,2
"Fay Alicia Jones","@JonesyFay","Conservative","Brecon and Radnorshire",7022,4
"Fabian Hamilton","@FabianLeedsNE","Labour","Leeds North East",7080,3
"Esther McVey","@EstherMcVey1","Conservative","Tatton",74486,-3
"Emma Lewell-Buck ","@EmmaLewellBuck","Labour","South Shields",27337,-1
"Emma Hardy","@EmmaHardyMP","Labour","Kingston upon Hull West and Hessle",29847,5
"Emily Thornberry ","@EmilyThornberry","Labour","Islington South and Finsbury",243758,104
"Elliot Colburn","@ElliotColburn","Conservative","Carshalton and Wallington",8340,-1
"Ellie Reeves","@elliereeves","Labour","Lewisham West and Penge",25205,1
"Elizabeth Truss ","@trussliz","Conservative","South West Norfolk",220312,95
"Eleanor Laing ","@eleanor4epping","Conservative","Epping Forest",13595,-7
"Edward Timpson","@edwardtimpson","Conservative","Eddisbury",6830,0
"Edward Miliband ","@Ed_Miliband","Labour","Doncaster North",777322,-26
"Edward Leigh ","@EdwardLeighMP","Conservative","Gainsborough",16027,-2
"Edward Davey","@EdwardJDavey","Liberal Democrat","Kingston and Surbiton",80210,31
"Eddie Hughes","@EddieHughes4WN","Conservative","Walsall North",12643,-1
"Duncan Charles Baker","@duncancbaker","Conservative","North Norfolk",4323,5
"Drew Hendry ","@drewhendrySNP","Scottish National Party","Inverness, Nairn, Badenoch and Strathspey",16178,2
"Dr Thérèse Coffey ","@theresecoffey","Conservative","Suffolk Coastal",28241,8
"Dr Rupa Huq ","@RupaHuq","Labour","Ealing Central and Acton",48938,7
"Dr Rosena Allin-Khan ","@DrRosena","Labour","Tooting",205444,-24
"Dr Philippa Whitford ","@Dr_PhilippaW","Scottish National Party","Central Ayrshire",39469,4
"Dr Liam Fox ","@LiamFox","Conservative","North Somerset",105214,-3
"Dr Caroline Johnson ","@drcarolinej","Conservative","Sleaford and North Hykeham",6978,-2
"Dr Andrew Murrison ","@AWMurrison","Conservative","South West Wiltshire",16384,-3
"Dr Alan Whitehead ","@alanwhiteheadmp","Labour","Southampton, Test",8598,6
"Douglas Ross","@Douglas4Moray","Conservative","Moray",40132,-1
"Douglas Chapman ","@DougChapmanSNP","Scottish National Party","Dunfermline and West Fife",15206,3
"Dominic Raab","@DominicRaab","Conservative","Esher and Walton",344503,17
"Diane Abbott ","@HackneyAbbott","Labour","Hackney North and Stoke Newington",393077,59
"Diana Johnson ","@DianaJohnsonMP","Labour","Kingston upon Hull North",29537,0
"Desmond Swayne ","@DesmondSwayne","Conservative","New Forest West",61959,-9
"Derek Twigg ","@DerekTwiggMP","Labour","Halton",7066,0
"Derek Thomas ","@DerekThomasUK","Conservative","St Ives",6067,1
"Deidre Brock ","@DeidreBrock","Scottish National Party","Edinburgh North and Leith",17098,3
"Dehenna Davison","@DehennaDavison","Conservative","Bishop Auckland",51449,-1
"Debbie Abrahams ","@Debbie_abrahams","Labour","Oldham East and Saddleworth",53459,-4
"Dean Russell","@dean4watford","Conservative","Watford",4537,0
"Dawn Butler ","@DawnButlerBrent","Labour","Brent Central",241642,-3
"David Warburton ","@DJWarburton","Conservative","Somerton and Frome",16792,-2
"David T. C. Davies ","@DavidTCDavies","Conservative","Monmouth",16069,3
"David Simmonds","@DSimmonds_RNP","Conservative","Ruislip, Northwood and Pinner",4054,-1
"David Rutley ","@DavidRutley","Conservative","Macclesfield",14015,0
"David Mundell ","@DavidMundellDCT","Conservative","Dumfriesshire, Clydesdale & Tweeddale",16962,-4
"David Morris ","@davidmorrisml","Conservative","Morecambe and Lunesdale",14694,1
"David Linden","@DavidLinden","Scottish National Party","Glasgow East",13028,0
"David Lammy ","@DavidLammy","Labour","Tottenham",769952,142
"David Jones ","@DavidJonesMP","Conservative","Clwyd West",17614,-7
"David Johnston","@david4wantage","Conservative","Wantage",2992,-1
"David Evennett ","@DavidEvennettMP","Conservative","Bexleyheath and Crayford",14684,-7
"David Duguid","@david_duguid","Conservative","Banff and Buchan",6451,-3
"David Davis ","@DavidDavisMP","Conservative","Haltemprice and Howden",188569,-3
"Dave Doogan","@DaveDooganSNP","Scottish National Party","Angus",4435,1
"Darren Jones","@darrenpjones","Labour","Bristol North West",32415,6
"Darren George Henry","@DarrenG_Henry","Conservative","Broxtowe",10731,-8
"Danny Kruger","@danny__kruger","Conservative","Devizes",11949,0
"Daniel Zeichner ","@DanielZeichner","Labour","Cambridge",21576,8
"Daniel Kawczynski ","@DKShrewsbury","Conservative","Shrewsbury and Atcham",25596,1
"Dan Jarvis ","@DanJarvisMP","Labour","Barnsley Central",74497,8
"Dan Carden","@DanCardenMP","Labour","Liverpool, Walton",53171,1
"Damian Hinds","@DamianHinds","Conservative","East Hampshire",33826,-2
"Damian Green ","@DamianGreen","Conservative","Ashford",21591,-2
"Damian Collins ","@DamianCollins","Conservative","Folkestone and Hythe",30508,-1
"Daisy Cooper","@libdemdaisy","Liberal Democrat","St Albans",25949,6
"Crispin Blunt ","@CrispinBlunt","Conservative","Reigate",12574,3
"Craig Williams ","@craig4monty","Conservative","Montgomeryshire",5512,1
"Craig Whittaker ","@CWhittaker_MP","Conservative","Calder Valley",9842,-2
"Craig Tracey ","@craig4nwarks","Conservative","North Warwickshire",9628,1
"Craig Mackinlay ","@cmackinlay","Conservative","South Thanet",13016,-5
"Conor McGinn ","@ConorMcGinn","Labour","St Helens North",18150,4
"Conor Burns","@ConorBurnsUK","Conservative","Bournemouth West",25225,-3
"Colum Eastwood","@columeastwood","Social Democratic and Labour Party","Foyle",45030,25
"Clive Lewis ","@labourlewis","Labour","Norwich South",116633,-2
"Clive Efford ","@CliveEfford","Labour","Eltham",15190,8
"Claudia Webbe","@ClaudiaWebbe","Independent","Leicester East",65972,119
"Claire Hanna","@ClaireHanna","Social Democratic and Labour Party","Belfast South",40611,16
"Claire Coutinho","@ClaireCoutinho","Conservative","East Surrey",8904,1
"Christopher Pincher ","@ChrisPincher","Conservative","Tamworth",21298,-1
"Christopher Hazzard","@ChrisHazzardSF","Sinn Féin","South Down",24047,0
"Christine Jardine","@cajardineMP","Liberal Democrat","Edinburgh West",14765,7
"Christina Rees ","@Rees4Neath","Labour","Neath",12062,0
"Christian Wakeford","@Christian4BuryS","Labour","Bury South",11286,-8
"Christian Matheson ","@ChrisM4Chester","Labour","City of Chester",15735,8
"Chris Stephens ","@ChrisStephens","Scottish National Party","Glasgow South West",17652,-2
"Chris Skidmore","@CSkidmoreUK","Conservative","Kingswood",23766,-3
"Chris Philp ","@CPhilpOfficial","Conservative","Croydon South",14744,4
"Chris Loder","@chrisloder","Conservative","West Dorset",7063,0
"Chris Law ","@ChrisLawSNP","Scottish National Party","Dundee West",19848,-1
"Chris Heaton-Harris ","@chhcalling","Conservative","Daventry",24902,2
"Chris Green","@CGreenUK","Conservative","Bolton West",15373,-4
"Chris Evans","@Chris_EvansMP","Labour","Islwyn",7442,0
"Chris Elmore ","@CPJElmore","Labour","Ogmore",13729,10
"Chris Clarkson","@ChrisClarksonMP","Conservative","Heywood and Middleton",6453,0
"Chris Bryant ","@RhonddaBryant","Labour","Rhondda",166475,406
"Chloe Smith","@NorwichChloe","Conservative","Norwich North",20218,-1
"Chi Onwurah ","@ChiOnwurah","Labour","Newcastle upon Tyne Central",46183,1
"Cherilyn Mackrory","@thisischerilyn","Conservative","Truro and Falmouth",3939,-2
"Charlotte Nichols","@charlotte2153","Labour","Warrington North",24125,-7
"Charles Walker","@CharlesWalkerMP","Conservative","Broxbourne",29381,-8
"Catherine West ","@CatherineWest1","Labour","Hornsey and Wood Green",32617,-8
"Catherine McKinnell ","@CatMcKinnell","Labour","Newcastle upon Tyne North",28725,3
"Cat Smith ","@CatSmithMP","Labour","Lancaster and Fleetwood",43279,10
"Carolyn Harris ","@carolynharris24","Labour","Swansea East",31332,5
"Caroline Nokes","@carolinenokes","Conservative","Romsey and Southampton North",25874,-4
"Caroline Lucas ","@CarolineLucas","Green Party","Brighton, Pavilion",561642,196
"Caroline Dinenage ","@cj_dinenage","Conservative","Gosport",22627,2
"Caroline Ansell ","@Caroline_Ansell","Conservative","Eastbourne",6122,1
"Carol Monaghan ","@CMonaghanSNP","Scottish National Party","Glasgow North West",20898,-1
"Carla Lockhart","@carlalockhart","Democratic Unionist Party","Upper Bann",11898,3
"Bridget Phillipson ","@bphillipsonMP","Labour","Houghton and Sunderland South",49729,28
"Brendan O'Hara ","@BrendanOHaraMP","Scottish National Party","Argyll and Bute",14982,1
"Brendan Clarke-Smith","@Bren4Bassetlaw","Conservative","Bassetlaw",6768,-5
"Brandon Lewis ","@BrandonLewis","Conservative","Great Yarmouth",60797,30
"Boris Johnson ","@BorisJohnson","Conservative","Uxbridge and South Ruislip",4302589,3273
"Bob Seely","@IoWBobSeely","Conservative","Isle of Wight",15348,3
"Bob Blackman ","@BobBlackman","Conservative","Harrow East",33061,17
"Bim Afolami","@BimAfolami","Conservative","Hitchin and Harpenden",14919,-2
"Bill Esterson ","@Bill_Esterson","Labour","Sefton Central",38692,45
"Beth Winter","@BethWinterMP","Labour","Cynon Valley",11819,3
"Bernard Jenkin ","@bernardjenkin","Conservative","Harwich and North Essex",37841,1
"Ben Wallace ","@BWallaceMP","Conservative","Wyre and Preston North",50690,26
"Ben Spencer","@DrBenSpencer","Conservative","Runnymede and Weybridge",7441,0
"Ben Lake","@BenMLake","Plaid Cymru","Ceredigion",8563,-2
"Ben Everitt","@Ben_Everitt","Conservative","Milton Keynes North",8544,4
"Ben Bradshaw ","@BenPBradshaw","Labour","Exeter",76231,13
